N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_goal_reached
460,73760,437,0.0,0.0,0.0,0.0,1.4957137864257675e-05,11.425798416137695,-7.182056265264691e-07,0.0,0.0,0.0
470,75360,437,0.0,0.0,0.0,0.0,1.505275668023387e-05,11.373610496520996,-6.979919930927281e-07,0.0,0.0,0.0
480,76960,437,0.0,0.0,0.0,0.0,1.5153013009694405e-05,11.323233604431152,-6.776812142561539e-07,0.0,0.0,0.0
490,78560,437,0.0,0.0,0.0,0.0,1.5258098756021354e-05,11.27458667755127,-6.572374786628643e-07,0.0,0.0,0.0
500,80160,437,0.0,0.0,0.0,0.0,1.5368243111879565e-05,11.227715492248535,-6.366450975292537e-07,0.0,0.0,0.0
510,81760,437,0.0,0.0,0.0,0.0,1.548365798953455e-05,11.182636260986328,-6.158944643175346e-07,0.0,0.0,0.0
520,83360,437,0.0,0.0,0.0,0.0,1.5604615327902138e-05,11.13931655883789,-5.949513024461339e-07,0.0,0.0,0.0
530,84960,438,0.0,0.0,0.0,0.0,1.573137524246704e-05,11.097716331481934,-5.738166919400101e-07,0.0,0.0,0.0
540,86560,438,0.0,0.0,0.0,0.0,1.5864283341215923e-05,11.057912826538086,-5.524494781639078e-07,0.0,0.0,0.0
550,88160,438,0.0,0.0,0.0,0.0,1.6003705241018906e-05,11.019861221313477,-5.308437494022655e-07,0.0,0.0,0.0
560,89760,438,0.0,0.0,0.0,0.0,1.6150008377735503e-05,10.983551025390625,-5.089605679131637e-07,0.0,0.0,0.0
570,91360,438,0.0,0.0,0.0,0.0,1.63036474987166e-05,10.948990821838379,-4.86794306198135e-07,0.0,0.0,0.0
580,92960,438,0.0,0.0,0.0,0.0,1.646511555009056e-05,10.91622257232666,-4.6430730549218424e-07,0.0,0.0,0.0
590,94560,438,0.0,0.0,0.0,0.0,1.6635030988254584e-05,10.885159492492676,-4.414742988956277e-07,0.0,0.0,0.0
600,96160,438,0.0,0.0,0.0,0.0,1.681402682152111e-05,10.85586929321289,-4.1826254459920165e-07,0.0,0.0,0.0
610,97760,438,0.0,0.0,0.0,0.0,1.700289431028068e-05,10.828311920166016,-3.946446724967245e-07,0.0,0.0,0.0
620,99360,438,0.0,0.0,0.0,0.0,1.720255022519268e-05,10.802474975585938,-3.70582228015337e-07,0.0,0.0,0.0
630,100960,438,0.0,0.0,0.0,0.0,1.7414087778888643e-05,10.778430938720703,-3.460465620719333e-07,0.0,0.0,0.0
640,102560,438,0.0,0.0,0.0,0.0,1.7638794815866277e-05,10.756083488464355,-3.2098429869620304e-07,0.0,0.0,0.0
650,104160,439,0.0,0.0,0.0,0.0,1.7878284779726528e-05,10.73550796508789,-2.953430282559566e-07,0.0,0.0,0.0
660,105760,439,0.0,0.0,0.0,0.0,1.8134573110728525e-05,10.716659545898438,-2.6907966343969747e-07,0.0,0.0,0.0
670,107360,439,0.0,0.0,0.0,0.0,1.8410213669994846e-05,10.699573516845703,-2.4212184257521585e-07,0.0,0.0,0.0
680,108960,439,0.0,0.0,0.0,0.0,1.870857522590086e-05,10.684229850769043,-2.1439910824483377e-07,0.0,0.0,0.0
690,110560,439,0.0,0.0,0.0,0.0,1.903428892546799e-05,10.67060661315918,-1.8581830829589308e-07,0.0,0.0,0.0
700,112160,439,0.0,0.0,0.0,0.0,1.9393806724110618e-05,10.658736228942871,-1.562653437758854e-07,0.0,0.0,0.0
710,113760,439,0.0,0.0,0.0,0.0,1.97969056898728e-05,10.648622512817383,-1.2557634931908979e-07,0.0,0.0,0.0
720,115360,439,0.0,0.0,0.0,0.0,2.0259200027794577e-05,10.640207290649414,-9.354751284718077e-08,0.0,0.0,0.0
730,116960,439,0.0,0.0,0.0,0.0,2.080864032905083e-05,10.633557319641113,-5.982347772715002e-08,0.0,0.0,0.0
740,118560,439,0.0,0.0,0.0,0.0,2.1503072275663726e-05,10.628645896911621,-2.376878249776837e-08,0.0,0.0,0.0
750,120160,439,0.0,0.0,0.0,0.0,2.2473775970865972e-05,10.625534057617188,1.5219026039403616e-08,0.0,0.0,0.0
760,121760,439,0.0,0.0,0.0,0.0,2.3512980988016352e-05,10.624380111694336,4.481658777422126e-08,0.0,0.0,0.0
770,123360,439,0.0,0.0,0.0,0.0,2.4525266780983657e-05,10.624056816101074,6.510189365371843e-08,0.0,0.0,0.0
780,124960,440,0.0,0.0,0.0,0.0,2.5545305106788874e-05,10.623970031738281,8.020671771191701e-08,0.0,0.0,0.0
790,126560,440,0.0,0.0,0.0,0.0,2.659512756508775e-05,10.623940467834473,9.272159218198794e-08,0.0,0.0,0.0
800,128160,439,0.0,0.0,0.0,0.0,2.7688693080563098e-05,10.623973846435547,1.0428279040297639e-07,0.0,0.0,0.0
810,129760,440,0.0,0.0,0.0,0.0,2.8834823751822114e-05,10.623941421508789,1.1593085957883886e-07,0.0,0.0,0.0
820,131360,440,-3840.4375,-20.0,-8192.0,0.0,3.434345489949919e-05,9.347803115844727,6.494606168416794e-06,1056.0,0.0,0.0
830,132960,440,-3840.4375,-20.0,-8192.0,0.0,2.963556835311465e-05,9.107813835144043,5.2852878980047535e-06,1056.0,0.0,0.0
840,134560,440,-3840.4375,-20.0,-8192.0,0.0,2.9056729545118287e-05,8.879417419433594,5.1089459702780005e-06,1056.0,0.0,0.0
850,136160,440,-3840.4375,-20.0,-8192.0,0.0,2.8499343898147345e-05,8.660745620727539,4.941548013448482e-06,1056.0,0.0,0.0
860,137760,440,-3840.4375,-20.0,-8192.0,0.0,2.796233820845373e-05,8.450384140014648,4.782265023095533e-06,1056.0,0.0,0.0
870,139360,441,-3840.4375,-20.0,-8192.0,0.0,2.7445017622085288e-05,8.24729061126709,4.630477178579895e-06,1056.0,0.0,0.0
880,140960,441,-3840.4375,-20.0,-8192.0,0.0,2.6946707293973304e-05,8.050539016723633,4.485623321670573e-06,1056.0,0.0,0.0
890,142560,441,-3840.4375,-20.0,-8192.0,0.0,2.646692155394703e-05,7.859495639801025,4.347275535110384e-06,1056.0,0.0,0.0
900,144160,442,-3840.4375,-20.0,-8192.0,0.0,2.6005202016676776e-05,7.673519134521484,4.2150109038630035e-06,1056.0,0.0,0.0
910,145760,442,-3840.4375,-20.0,-8192.0,0.0,2.556119034125004e-05,7.492154121398926,4.0885065573093016e-06,1056.0,0.0,0.0
920,147360,442,-3840.4375,-20.0,-8192.0,0.0,2.5134846509899944e-05,7.3150482177734375,3.967516022385098e-06,1056.0,0.0,0.0
